anchor,positive,negative,negative_similarity,source_stt,negative_stt
"Theo Thông báo số 1252, tôi cần thực hiện nhiệm vụ gì liên quan đến ngân hàng đề thi học kỳ I? ","Theo Thông báo số 1252 ban hành vào ngày 29/12/2023. Bạn cần báo cáo kết quả xây dựng ngân hàng đề thi kết thúc học phần học kỳ I, năm học 2023–2024 (áp dụng từ 29/12/2023 đến 15/01/2024).","Thông báo số 906 yêu cầu các đơn vị, cá nhân liên quan thực hiện nghiêm túc các nội dung được phân công và báo cáo khó khăn về Phòng QLĐT&CTSV để trình Hiệu trưởng xem xét.",0.5593709,TB_1252,TB_906
Thông báo số 1252 có yêu cầu lập kế hoạch cho ngân hàng đề thi học kỳ II không?,"Theo Thông báo số 1252 ban hành ngày 29/12/2023, bạn cần lập kế hoạch xây dựng ngân hàng đề thi kết thúc học phần học kỳ II, năm học 2023–2024 theo yêu cầu (áp dụng từ 29/12/2023 đến 15/01/2024).","Kiểm kê ngân hàng đề thi, xây dựng kế hoạch tổ chức biên soạn ngân hàng đề thi, câu hỏi thi.",0.5830961,TB_1252,TB_523
"Theo Thông báo số 1252, tôi cần nộp báo cáo và kế hoạch ngân hàng đề thi tại đâu?","Theo Thông báo số 1252 ban hành vào ngày 29/12/2023, bạn cần gửi báo cáo và kế hoạch về Phòng Bảo đảm chất lượng và Khảo thí, Trường Đại học Bình Dương.,Bạn cần gửi báo cáo và kế hoạch về Phòng Bảo đảm chất lượng và Khảo thí, Trường Đại học Bình Dương (áp dụng từ 29/12/2023 đến 15/01/2024).","Kiểm kê ngân hàng đề thi, xây dựng kế hoạch tổ chức biên soạn ngân hàng đề thi, câu hỏi thi.",0.5805896,TB_1252,TB_523
"Theo Thông báo số 1252, tôi gửi file báo cáo ngân hàng đề thi cho ai phụ trách?","Theo Thông báo số 1252 ban hành vào ngày 29/12/2023, bạn gửi cho ông Lại Đức Khâm – cán bộ Phòng Bảo đảm chất lượng và Khảo thí, Trường Đại học Bình Dương.,Gửi cho ông Lại Đức Khâm – cán bộ Phòng Bảo đảm chất lượng và Khảo thí, Trường Đại học Bình Dương (áp dụng từ 29/12/2023 đến 15/01/2024).","Có. Giảng viên nộp đề thi và đáp án (có thang điểm) cho Thư ký khoa lưu trữ, đồng thời cập nhật lên hệ thống theo yêu cầu của Phòng Khảo thí.",0.4998776,TB_1252,BDU_264
Địa chỉ email để gửi file mềm báo cáo và kế hoạch ngân hàng đề thi theo Thông báo số 1252 là gì?,"Theo Thông báo số 1252 ban hành vào ngày 29/12/2023, bạn gửi file mềm qua địa chỉ email: ldkham@bdu.edu.vn.,Gửi file mềm qua địa chỉ email: ldkham@bdu.edu.vn (áp dụng từ 29/12/2023 đến 15/01/2024).","Theo thông báo số 401/TB-ĐHBD của Trường Đại học Bình Dương, địa chỉ email được sử dụng để gửi báo cáo và kế hoạch dự giờ là dbclkt@bdu.edu.vn.",0.6303204,TB_1252,TB_401
Hạn cuối cùng để nộp báo cáo kết quả và kế hoạch xây dựng ngân hàng đề thi theo Thông báo số 1252 là khi nào?,"Theo Thông báo số 1252 ban hành vào ngày 29/12/2023, bạn cần nộp trước ngày 15/01/2024.,Nộp trước ngày 15/01/2024 (áp dụng từ 29/12/2023 đến 15/01/2024).","Theo Thông báo số 1252 ban hành ngày 29/12/2023, bạn cần lập kế hoạch xây dựng ngân hàng đề thi kết thúc học phần học kỳ II, năm học 2023–2024 theo yêu cầu (áp dụng từ 29/12/2023 đến 15/01/2024).",0.6174513,TB_1252,TB_1252
Thông báo số 1252 căn cứ trên những văn bản nào của Trường Đại học Bình Dương?,"Theo Thông báo số 1252 ban hành vào ngày 29/12/2023, Thông báo số 1252 căn cứ trên Quyết định số 1768/QĐ-ĐHBD ngày 28/12/2022 và Kế hoạch số 750/KH-ĐHBD ngày 09/08/2023 của Trường Đại học Bình Dương.,Thông báo căn cứ trên Quyết định số 1768/QĐ-ĐHBD ngày 28/12/2022 và Kế hoạch số 750/KH-ĐHBD ngày 09/08/2023 (áp dụng từ 29/12/2023 đến 15/01/2024).","Theo Thông báo số 1252 ban hành vào ngày 29/12/2023, bạn gửi cho ông Lại Đức Khâm – cán bộ Phòng Bảo đảm chất lượng và Khảo thí, Trường Đại học Bình Dương.,Gửi cho ông Lại Đức Khâm – cán bộ Phòng Bảo đảm chất lượng và Khảo thí, Trường Đại học Bình Dương (áp dụng từ 29/12/2023 đến 15/01/2024).",0.56510156,TB_1252,TB_1252
"Sau khi nộp báo cáo và kế hoạch, đơn vị tôi có cần thực hiện gì thêm theo Thông báo số 1252 không?","Theo Thông báo số 1252 ban hành vào ngày 29/12/2023, sau khi nộp, các Khoa, Viện, Trung tâm và Phòng chức năng cần tiếp tục phối hợp với Trường để triển khai thực hiện các nội dung xây dựng ngân hàng đề thi theo kế hoạch.,Sau khi nộp, các đơn vị cần tiếp tục phối hợp triển khai xây dựng ngân hàng đề thi theo kế hoạch (áp dụng từ 29/12/2023 đến 15/01/2024).",Thông báo số 401/TB-ĐHBD của Trường Đại học Bình Dương yêu cầu các đơn vị thực hiện nghiêm túc theo đúng tinh thần và thời hạn của thông báo.,0.54173106,TB_1252,TB_401
Ai là người ký ban hành Thông báo số 1252 về báo cáo và kế hoạch ngân hàng đề thi?,"Theo Thông báo số 1252 ban hành vào ngày 29/12/2023, TS. Đỗ Đoan Trang – Phó Hiệu trưởng thường trực Trường Đại học Bình Dương là người ký ban hành Thông báo số 1252.,TS. Đỗ Đoan Trang – Phó Hiệu trưởng thường trực là người ký ban hành văn bản (áp dụng từ 29/12/2023 đến 15/01/2024).","Theo Thông báo số 1252 ban hành vào ngày 29/12/2023, Thông báo số 1252 căn cứ trên Quyết định số 1768/QĐ-ĐHBD ngày 28/12/2022 và Kế hoạch số 750/KH-ĐHBD ngày 09/08/2023 của Trường Đại học Bình Dương.,Thông báo căn cứ trên Quyết định số 1768/QĐ-ĐHBD ngày 28/12/2022 và Kế hoạch số 750/KH-ĐHBD ngày 09/08/2023 (áp dụng từ 29/12/2023 đến 15/01/2024).",0.588613,TB_1252,TB_1252
Thông báo số 1252 về báo cáo kết quả và kế hoạch xây dựng ngân hàng đề thi được ban hành vào ngày nào?,"Theo Thông báo số 1252 ban hành vào ngày 29/12/2023, Thông báo số 1252 được ban hành vào ngày 29 tháng 12 năm 2023.,Thông báo được ban hành vào ngày 29/12/2023 (áp dụng từ 29/12/2023 đến 15/01/2024).","Kiểm kê ngân hàng đề thi, xây dựng kế hoạch tổ chức biên soạn ngân hàng đề thi, câu hỏi thi.",0.6141995,TB_1252,TB_523
